Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_5     101.973000      120.944710      277.199951      169.000000     
FLOW_OUT_5     82.876999       22.584707       187.571518      161.800003     
FLOW_OUT_5     77.370003       14.893465       153.360016      155.100006     
FLOW_OUT_5     71.866997       9.350764        130.769348      149.100006     
FLOW_OUT_5     67.556000       7.059576        112.633141      143.500000     
FLOW_OUT_5     63.776001       6.057734        98.531189       138.399994     
FLOW_OUT_5     80.899002       83.253754       262.922485      137.600006     
FLOW_OUT_5     95.538002       156.237503      346.033295      150.600006     
FLOW_OUT_5     122.667000      281.169983      1213.665894     170.300003     
FLOW_OUT_5     121.376999      420.640015      856.293396      190.000000     
FLOW_OUT_5     102.834999      208.575012      467.662506      188.100006     
FLOW_OUT_5     95.661003       133.558929      283.796692      181.800003     
FLOW_OUT_5     84.300003       149.775009      240.334976      174.699997     
FLOW_OUT_5     78.522003       50.802242       206.240219      168.300003     
FLOW_OUT_5     73.586998       20.797327       183.058014      163.199997     
FLOW_OUT_5     69.658997       13.864450       161.114700      158.899994     
FLOW_OUT_5     65.477997       13.990083       144.636017      155.500000     
FLOW_OUT_5     63.127998       10.954032       124.182007      152.600006     
FLOW_OUT_5     61.589001       9.754836        93.973984       150.399994     
FLOW_OUT_5     97.120003       128.316666      612.622253      157.399994     
FLOW_OUT_5     95.475998       162.643753      358.512421      167.600006     
FLOW_OUT_5     101.635002      217.005005      700.432861      174.899994     
FLOW_OUT_5     90.003998       151.085297      452.786591      197.800003     
FLOW_OUT_5     87.129997       171.739990      308.292480      187.500000     
FLOW_OUT_5     96.345001       195.433334      329.539978      188.300003     
FLOW_OUT_5     74.023003       33.967308       216.240021      185.600006     
FLOW_OUT_5     69.414001       18.760902       169.272263      180.899994     
FLOW_OUT_5     65.561996       10.385942       147.443802      176.600006     
FLOW_OUT_5     62.048000       10.989567       128.158234      172.699997     
FLOW_OUT_5     59.383999       8.117760        104.602409      169.100006     
FLOW_OUT_5     60.785999       37.733906       88.014000       166.500000     
FLOW_OUT_5     69.186996       82.856888       177.312012      167.699997     
FLOW_OUT_5     121.257004      284.934998      1301.198608     197.199997     
FLOW_OUT_5     97.591003       93.992004       472.731964      222.800003     
FLOW_OUT_5     99.167999       214.875000      389.002472      228.500000     
FLOW_OUT_5     108.653000      298.125000      458.466705      223.600006     
FLOW_OUT_5     104.960999      212.041656      342.539917      226.300003     
FLOW_OUT_5     81.969002       52.947865       232.952042      221.000000     
FLOW_OUT_5     76.654999       24.870832       200.679977      214.300003     
FLOW_OUT_5     73.332001       15.013925       169.386002      208.100006     
FLOW_OUT_5     68.875999       11.582269       140.105515      202.199997     
FLOW_OUT_5     66.441002       11.376341       108.511505      196.699997     
FLOW_OUT_5     65.778999       14.028646       84.832001       191.500000     
FLOW_OUT_5     89.207001       138.218002      474.874054      194.300003     
FLOW_OUT_5     106.606003      256.925018      726.527222      215.600006     
FLOW_OUT_5     74.671997       223.452423      372.093292      229.500000     
FLOW_OUT_5     96.514999       235.908340      377.085022      252.600006     
FLOW_OUT_5     96.801003       220.423996      318.919983      238.100006     
FLOW_OUT_5     99.257004       186.611877      416.598724      233.100006     
FLOW_OUT_5     95.348000       180.981247      418.884949      234.000000     
FLOW_OUT_5     71.919998       26.850456       211.401672      223.699997     
FLOW_OUT_5     67.887001       16.306471       174.604004      214.300003     
FLOW_OUT_5     63.953999       12.946099       147.679001      205.600006     
FLOW_OUT_5     60.905998       11.174318       118.390999      197.899994     
FLOW_OUT_5     61.518002       18.159576       104.505013      191.199997     
FLOW_OUT_5     71.030998       47.021950       138.465759      186.399994     
FLOW_OUT_5     70.953003       83.626404       161.869476      187.199997     
FLOW_OUT_5     175.710999      313.107483      1472.370728     212.899994     
FLOW_OUT_5     105.170998      107.804077      562.079956      250.199997     
FLOW_OUT_5     76.050003       120.565712      326.846710      243.800003     
FLOW_OUT_5     67.734001       33.615559       221.117981      233.600006     
FLOW_OUT_5     64.098000       19.890165       187.371735      223.000000     
FLOW_OUT_5     63.209000       16.550749       149.223007      213.300003     
FLOW_OUT_5     60.851002       12.527372       113.066994      204.399994     
FLOW_OUT_5     58.674999       14.064413       91.229256       196.000000     
