Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_11     41.702999       19.120001       19.120001       19.120001      
FLOW_OUT_11     27.951000       13.820000       13.820000       13.820000      
FLOW_OUT_11     26.728001       10.240000       10.240000       10.240000      
FLOW_OUT_11     25.136000       7.633000        7.633000        7.633000       
FLOW_OUT_11     23.472000       5.605000        5.605000        5.605000       
FLOW_OUT_11     21.789000       4.121000        4.121000        4.121000       
FLOW_OUT_11     28.944000       3.662000        3.662000        3.662000       
FLOW_OUT_11     34.535000       5.503000        5.503000        5.503000       
FLOW_OUT_11     40.973999       13.590000       13.590000       13.590000      
FLOW_OUT_11     46.376999       25.200001       25.200001       25.200001      
FLOW_OUT_11     41.504002       22.870001       22.870001       22.870001      
FLOW_OUT_11     33.542999       18.660000       18.660000       18.660000      
FLOW_OUT_11     28.990000       13.590000       13.590000       13.590000      
FLOW_OUT_11     27.362000       10.240000       10.240000       10.240000      
FLOW_OUT_11     25.448999       7.630000        7.630000        7.630000       
FLOW_OUT_11     24.167000       5.561000        5.561000        5.561000       
FLOW_OUT_11     23.264000       4.031000        4.031000        4.031000       
FLOW_OUT_11     22.080000       2.893000        2.893000        2.893000       
FLOW_OUT_11     22.818001       2.186000        2.186000        2.186000       
FLOW_OUT_11     37.645000       7.310000        7.310000        7.310000       
FLOW_OUT_11     34.028000       14.590000       14.590000       14.590000      
FLOW_OUT_11     37.719002       11.550000       11.550000       11.550000      
FLOW_OUT_11     29.992001       12.350000       12.350000       12.350000      
FLOW_OUT_11     34.737999       9.774000        9.774000        9.774000       
FLOW_OUT_11     33.845001       8.826000        8.826000        8.826000       
FLOW_OUT_11     25.747000       6.045000        6.045000        6.045000       
FLOW_OUT_11     24.082001       4.216000        4.216000        4.216000       
FLOW_OUT_11     22.695999       3.008000        3.008000        3.008000       
FLOW_OUT_11     21.177000       2.087000        2.087000        2.087000       
FLOW_OUT_11     20.362000       1.422000        1.422000        1.422000       
FLOW_OUT_11     21.948999       1.701000        1.701000        1.701000       
FLOW_OUT_11     24.504999       2.006000        2.006000        2.006000       
FLOW_OUT_11     40.344002       27.879999       27.879999       27.879999      
FLOW_OUT_11     33.551998       64.980003       64.980003       64.980003      
FLOW_OUT_11     36.403999       51.599998       51.599998       51.599998      
FLOW_OUT_11     37.502998       43.279999       43.279999       43.279999      
FLOW_OUT_11     37.639000       36.459999       36.459999       36.459999      
FLOW_OUT_11     27.775000       28.809999       28.809999       28.809999      
FLOW_OUT_11     24.083000       21.549999       21.549999       21.549999      
FLOW_OUT_11     22.226000       16.170000       16.170000       16.170000      
FLOW_OUT_11     20.796000       12.110000       12.110000       12.110000      
FLOW_OUT_11     20.271999       9.066000        9.066000        9.066000       
FLOW_OUT_11     20.260000       6.863000        6.863000        6.863000       
FLOW_OUT_11     29.143999       8.545000        8.545000        8.545000       
FLOW_OUT_11     42.660000       14.590000       14.590000       14.590000      
FLOW_OUT_11     29.181999       18.389999       18.389999       18.389999      
FLOW_OUT_11     37.284000       15.160000       15.160000       15.160000      
FLOW_OUT_11     34.646000       12.580000       12.580000       12.580000      
FLOW_OUT_11     46.584999       14.160000       14.160000       14.160000      
FLOW_OUT_11     43.487000       23.840000       23.840000       23.840000      
FLOW_OUT_11     28.082001       18.940001       18.940001       18.940001      
FLOW_OUT_11     25.462000       13.900000       13.900000       13.900000      
FLOW_OUT_11     24.552999       10.270000       10.270000       10.270000      
FLOW_OUT_11     23.500000       7.652000        7.652000        7.652000       
FLOW_OUT_11     24.636999       5.993000        5.993000        5.993000       
FLOW_OUT_11     29.135000       5.347000        5.347000        5.347000       
FLOW_OUT_11     59.139999       21.049999       21.049999       21.049999      
FLOW_OUT_11     33.796001       35.919998       35.919998       35.919998      
FLOW_OUT_11     31.132000       26.670000       26.670000       26.670000      
FLOW_OUT_11     26.259001       19.490000       19.490000       19.490000      
FLOW_OUT_11     24.844999       14.560000       14.560000       14.560000      
FLOW_OUT_11     24.414000       10.950000       10.950000       10.950000      
FLOW_OUT_11     23.980000       8.220000        8.220000        8.220000       
FLOW_OUT_11     23.266001       4.546000        4.546000        4.546000       
FLOW_OUT_11     25.183001       4.139000        4.139000        4.139000       
FLOW_OUT_11     25.850000       4.033000        4.033000        4.033000       
FLOW_OUT_11     27.261999       5.435000        5.435000        5.435000       
