Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:46830000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
46830000;1;01/02/2018;;1;1;164,284;97,219;129,747;16;1;1;1;1;;0;97,219;99,794;102,391;108,183;111,387;113,54;118,436;123,957;133,536;141,021;143,351;146,871;153,997;159,415;162,452;164,284;164,284;161,235;152,205;141,021;132,966;109,247;111,387;115,165;117,342;117,342;116,797;114,081;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
46830000;1;01/01/2018;;1;1;102,391;78,413;88,09;11;1;1;1;1;;0;78,413;82,743;84,693;87,151;88,142;90,133;92,643;96,707;99,277;100,83;102,391;97,219;91,636;87,646;87,646;89,135;89,634;91,134;90,633;87,151;86,165;82,258;80,328;79,848;79,848;81,291;81,291;81,774;82,743;87,151;93,148;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/12/2017;;1;1;111,924;70,91;91,102;19;1;1;1;1;;0;70,91;74,161;78,413;81,774;83,716;84,204;84,204;87,151;90,633;93,148;94,668;96,196;96,707;97,732;98,761;101,87;107,122;110,315;111,924;111,387;108,715;107,122;99,277;91,134;86,165;83,716;81,774;78,413;77,936;77,461;77,461;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/11/2017;;1;1;85,674;55,837;73,509;19;1;1;1;1;;0;55,837;60,581;62,338;62,338;63,222;63,666;63,666;64,111;67,255;70,91;74,161;75,57;74,63;77,461;79,368;79,848;82,743;84,693;85,674;85,183;84,204;80,328;76,987;75,57;76,513;77,936;78,89;76,987;73,694;70,91;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/10/2017;;1;1;56,69;54,989;55,811;1;15;1;1;1;;0;56,69;56,69;56,69;56,69;56,69;56,69;56,69;56,69;56,263;55,837;55,837;55,837;55,837;55,837;54,989;54,989;55,837;55,837;55,837;55,837;55,837;55,837;55,413;54,989;54,989;54,989;54,989;54,989;54,989;54,989;55,837;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/09/2017;;1;1;58,408;55,413;57,206;1;20;1;1;1;;0;58,408;58,408;58,408;58,408;58,408;58,408;58,408;58,408;58,408;57,547;57,547;57,547;57,547;57,547;56,69;56,69;56,69;55,837;55,837;55,413;55,413;56,69;56,69;56,69;56,69;56,69;56,69;56,69;56,69;56,69;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/08/2017;;1;1;62,779;58,841;60,797;1;31;1;1;1;;0;62,779;62,779;62,779;62,779;62,779;62,779;62,338;61,897;61,897;61,897;61,018;61,018;61,018;61,018;61,018;60,144;60,144;60,144;60,144;60,144;60,144;60,144;60,144;59,274;59,274;59,274;59,274;59,274;59,274;59,274;58,841;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/07/2017;;1;1;64,557;62,779;63,782;1;26;1;1;1;;0;64,557;64,557;64,557;64,557;64,557;64,557;64,557;64,557;64,557;64,557;64,111;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,222;62,779;62,779;62,779;62,779;62,779;62,779;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/06/2017;;1;1;69,075;64,557;65,726;1;21;1;1;1;;0;69,075;68,163;68,163;68,163;67,255;67,255;66,803;65,902;65,453;65,453;65,453;65,453;65,453;65,453;65,453;65,453;65,453;65,453;65,453;65,453;64,557;64,557;64,557;64,557;64,557;64,557;64,557;64,557;64,557;64,557;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/05/2017;;1;1;79,368;65,453;69,907;24;19;1;1;1;;0;68,163;69,991;69,991;69,991;69,075;68,618;68,163;67,255;67,255;67,255;67,255;67,255;67,255;67,255;66,803;66,352;66,352;65,902;65,453;67,709;69,991;71,834;78,89;79,368;78,413;77,461;74,161;71,834;71,372;70,45;69,991;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/04/2017;;1;1;134,678;68,163;94,044;5;30;1;1;1;;0;90,633;102,913;114,622;125,63;134,678;134,678;134,107;133,536;130,128;126,19;118,436;106,064;94,16;86,165;83,229;79,848;77,936;76,041;75,099;74,63;74,63;74,161;73,227;72,762;72,762;72,298;71,834;71,834;70,91;68,163;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/03/2017;;1;1;115,165;78,89;93,532;6;14;1;1;1;;0;97,732;96,707;97,219;107,652;112,462;115,165;114,622;108,715;100,83;91,134;86,658;83,229;80,809;78,89;78,89;81,291;85,674;94,16;101,349;94,668;95,686;92,139;91,636;90,133;90,633;92,139;91,636;88,638;86,165;86,165;86,658;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/02/2017;;1;1;146,283;80,328;109,89;20;4;1;1;1;;0;87,151;83,229;80,809;80,328;80,809;82,258;83,716;87,151;91,134;96,196;109,781;118,436;120,084;123,402;126,75;130,128;133,536;136,973;142,184;146,283;145,695;142,767;123,957;113,001;106,592;102,913;101,349;100,312;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
