Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:46830000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
46830000;2;01/10/2004;;1;1;80,472;73,123;76,132;31;2;1;1;1;;0;73,926;73,123;73,123;73,123;73,123;73,123;73,926;75,543;76,356;77,173;78,816;78,816;78,816;78,816;77,173;76,356;75,543;75,543;74,733;73,926;73,926;74,733;76,356;76,356;76,356;76,356;76,356;78,816;79,642;79,642;80,472;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/09/2004;;1;1;77,993;73,926;75,493;1;23;1;1;1;;0;77,993;77,993;77,173;77,173;77,173;77,173;77,173;76,356;76,356;76,356;76,356;75,543;75,543;75,543;75,543;75,543;74,733;74,733;74,733;74,733;74,733;74,733;73,926;73,926;73,926;73,926;73,926;73,926;73,926;73,926;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/08/2004;;1;1;79,642;77,993;79,216;1;28;1;1;1;;0;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;79,642;78,816;78,816;78,816;78,816;78,816;78,816;78,816;78,816;77,993;77,993;77,993;77,993;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/07/2004;;1;1;82,141;79,642;81,091;1;29;1;1;1;;0;82,141;82,141;82,141;82,141;82,141;82,141;82,141;82,141;82,141;81,305;81,305;81,305;81,305;81,305;81,305;81,305;81,305;80,472;80,472;80,472;80,472;80,472;80,472;80,472;80,472;80,472;80,472;80,472;79,642;79,642;79,642;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/06/2004;;1;1;85,517;82,98;84,077;1;24;1;1;1;;0;85,517;85,517;85,517;85,517;84,668;84,668;84,668;84,668;84,668;84,668;84,668;84,668;83,823;83,823;83,823;83,823;83,823;83,823;83,823;83,823;83,823;83,823;83,823;82,98;82,98;82,98;82,98;82,98;82,98;82,98;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/05/2004;;1;1;101,331;85,517;90,805;2;31;2;2;2;;0;99,524;101,331;101,331;99,524;97,73;96,837;95,062;93,298;91,547;91,547;90,676;89,808;89,808;88,944;88,944;88,944;88,944;88,082;88,082;88,082;88,082;87,224;87,224;87,224;87,224;87,224;87,224;87,224;86,369;86,369;85,517;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/04/2004;;1;1;192,422;95,948;116,551;1;27;1;1;1;;0;192,422;185,754;169,552;148,82;132,858;121,995;115,264;111,483;108,678;106,823;104,98;104,98;105,9;107,749;111,483;113,368;114,314;114,314;112,424;110,545;109,61;105,9;103,149;101,331;98,626;97,73;95,948;95,948;96,837;97,73;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/03/2004;;1;1;189,032;104,98;143,773;31;17;1;1;1;;0;143,014;145,911;148,82;150,768;151,744;152,721;153,7;153,7;149,793;143,978;135,881;125,905;118,131;110,545;105,9;105,9;104,98;110,545;118,131;125,905;131,856;138,929;148,82;154,68;157,629;171,559;171,559;174,579;178,624;183,711;189,032;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/02/2004;;1;1;187,907;133,863;160,904;6;22;1;1;1;;0;166,553;173,57;176,598;179,639;184,732;187,907;184,732;175,588;165,555;156,644;154,68;162,572;172,564;180,655;180,655;175,588;167,551;156,644;145,911;138,929;134,87;133,863;136,894;140,975;145,911;150,768;150,768;144,943;139,951;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
46830000;2;01/01/2004;;1;1;168,551;85,517;123,436;27;11;1;1;1;;0;111,483;110,545;111,483;105,9;102,239;96,837;93,298;90,676;88,944;87,224;85,517;86,369;92,421;101,331;111,483;118,131;121,024;124,923;134,87;137,91;145,911;145,911;144,943;143,978;152,721;159,602;168,551;167,551;163,565;160,591;160,591;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/12/2003;;1;1;105,9;77,993;83,272;31;1;1;1;1;;0;77,993;79,642;80,472;80,472;81,305;82,141;83,823;84,668;85,517;84,668;84,668;83,823;82,98;81,305;79,642;78,816;78,816;78,816;78,816;79,642;80,472;80,472;78,816;77,993;81,305;82,98;86,369;88,944;92,421;97,73;105,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/11/2003;;1;1;105,9;72,323;84,477;14;1;1;1;1;;0;72,323;72,323;73,926;75,543;77,993;77,993;82,141;87,224;92,421;97,73;101,331;103,149;104,98;105,9;103,149;95,948;92,421;88,944;85,517;82,141;80,472;78,816;77,173;76,356;75,543;74,733;74,733;73,926;74,733;74,733;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/10/2003;;1;1;77,993;70,732;73,755;18;12;1;1;1;;0;72,323;74,733;75,543;76,356;76,356;75,543;73,926;73,123;72,323;71,526;71,526;70,732;70,732;70,732;71,526;73,123;77,173;77,993;77,173;75,543;74,733;73,123;72,323;72,323;73,123;73,926;74,733;74,733;73,926;73,123;72,323;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/09/2003;;1;1;73,123;69,942;71,053;1;19;1;1;1;;0;73,123;73,123;73,123;73,123;73,123;72,323;71,526;71,526;71,526;71,526;71,526;70,732;70,732;70,732;70,732;70,732;70,732;70,732;69,942;69,942;69,942;69,942;69,942;69,942;69,942;69,942;69,942;69,942;69,942;71,526;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/08/2003;;1;1;74,733;72,323;73,124;1;16;1;1;1;;0;74,733;73,926;73,926;73,926;73,926;73,926;73,926;73,926;73,926;73,123;73,123;73,123;73,123;73,123;73,123;72,323;72,323;72,323;72,323;73,123;73,123;73,123;73,123;73,123;73,123;72,323;72,323;72,323;72,323;72,323;72,323;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/07/2003;;1;1;75,543;72,323;74,111;1;16;1;1;1;;0;75,543;75,543;75,543;75,543;74,733;74,733;74,733;73,926;73,926;73,926;73,926;73,123;73,123;73,123;73,123;72,323;72,323;72,323;72,323;72,323;73,123;73,926;73,926;73,926;74,733;75,543;75,543;75,543;75,543;74,733;74,733;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/06/2003;;1;1;82,98;75,543;78,551;1;30;1;1;1;;0;82,98;82,98;82,141;81,305;81,305;80,472;80,472;80,472;79,642;78,816;78,816;78,816;77,993;77,993;77,993;77,993;77,993;77,993;77,173;77,173;77,173;77,173;77,173;77,173;76,356;76,356;76,356;76,356;76,356;75,543;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/05/2003;;1;1;103,149;79,642;86,063;7;23;1;1;1;;0;82,141;82,141;82,141;82,98;88,944;96,837;103,149;103,149;98,626;95,062;94,178;93,298;91,547;88,944;86,369;84,668;83,823;82,141;81,305;81,305;80,472;80,472;79,642;79,642;79,642;79,642;79,642;80,472;80,472;82,141;82,98;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/04/2003;;1;1;107,749;80,472;90,882;1;30;1;1;1;;0;107,749;105,9;104,063;101,331;98,626;95,062;93,298;91,547;89,808;93,298;96,837;97,73;97,73;95,062;91,547;88,944;88,082;87,224;87,224;86,369;85,517;85,517;84,668;83,823;82,98;82,141;81,305;81,305;81,305;80,472;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/03/2003;;1;1;121,995;84,668;99,994;27;12;1;1;1;;0;102,239;97,73;92,421;89,808;88,082;87,224;86,369;86,369;85,517;85,517;85,517;84,668;84,668;86,369;90,676;95,062;99,524;103,149;104,063;104,063;105,9;108,678;112,424;111,483;115,264;119,093;121,995;121,995;118,131;116,217;109,61;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/02/2003;;1;1;121,995;80,472;101,774;21;12;1;1;1;;0;98,626;100,426;101,331;102,239;102,239;100,426;96,837;91,547;86,369;83,823;82,141;80,472;81,305;82,141;87,224;93,298;101,331;110,545;119,093;120,057;121,995;121,995;121,024;118,131;114,314;113,368;111,483;105,9;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
46830000;2;01/01/2003;;1;1;133,863;92,421;109,979;6;17;1;1;1;;0;116,217;121,995;125,905;128,867;131,856;133,863;133,863;130,857;125,905;116,217;110,545;104,063;97,73;95,062;93,298;93,298;92,421;95,062;97,73;100,426;102,239;107,749;114,314;115,264;113,368;112,424;108,678;104,063;96,837;93,298;95,948;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/12/2002;;1;1;107,749;69,155;83,969;31;4;1;1;1;;0;70,732;69,942;69,942;69,155;69,155;69,942;69,942;69,942;70,732;73,123;76,356;81,305;85,517;86,369;86,369;86,369;87,224;88,082;89,808;95,062;98,626;99,524;95,948;91,547;88,082;85,517;85,517;86,369;95,948;103,149;107,749;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/11/2002;;1;1;92,581;70,732;78,613;10;30;2;2;2;;0;75,176;75,977;75,977;77,588;79,21;82,487;85,809;88,328;90,872;92,581;91,725;88,944;85,517;86,369;84,668;81,305;77,993;76,356;73,123;72,323;71,526;71,526;71,526;71,526;71,526;71,526;72,323;72,323;71,526;70,732;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/10/2002;;1;1;72,789;64,917;67,498;31;18;2;2;2;;0;72;71,213;70,429;69,533;68,6;69,533;70,429;71,213;69,533;69,533;68,6;67,672;67,672;66,749;65,831;65,831;65,831;64,917;64,917;64,917;64,917;64,917;64,917;64,917;64,917;64,917;64,917;64,917;66,749;68,6;72,789;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
46830000;2;01/09/2002;;1;1;73,582;65,831;68,256;28;18;2;2;2;;0;67,672;67,672;67,672;67,672;68,6;69,533;69,533;68,6;68,6;67,672;67,672;67,672;67,672;66,749;66,749;66,749;66,749;65,831;65,831;65,831;65,831;65,831;65,831;67,672;68,6;70,429;72,789;73,582;73,582;72,789;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
46830000;2;01/08/2002;;1;1;69,533;67,672;67,912;1;7;2;2;2;;0;69,533;69,533;68,6;68,6;68,6;68,6;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;67,672;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
46830000;2;01/07/2002;;1;1;72;69,533;70,183;1;20;2;2;2;;0;72;71,213;71,213;70,429;70,429;70,429;70,429;70,429;70,429;70,429;70,429;70,429;70,429;70,429;70,429;70,429;70,429;70,429;70,429;69,533;69,533;69,533;69,533;69,533;69,533;69,533;69,533;69,533;69,533;69,533;69,533;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
46830000;2;01/06/2002;;1;1;79,21;71,213;74,548;1;26;2;2;2;;0;79,21;78,397;77,588;76,781;76,781;77,588;76,781;76,781;75,977;75,977;75,977;75,176;75,176;74,378;74,378;74,378;73,582;72,789;72,789;72,789;72,789;72,789;72,789;72,789;72,789;71,213;72;72;72;72;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;;
46830000;2;01/05/2002;;1;1;84,143;75,977;77,912;29;16;1;1;1;;0;79,21;78,397;78,397;78,397;78,397;77,588;77,588;77,588;76,781;76,781;76,781;76,781;76,781;76,781;76,781;75,977;75,977;75,977;75,977;75,977;75,977;75,977;75,977;75,977;76,781;78,397;80,843;83,313;84,143;83,313;81,664;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/04/2002;;1;1;113,899;79,21;90,752;17;30;1;1;1;;0;91,725;89,174;85,809;84,143;82,487;80,843;80,025;80,025;81,664;84,974;91,725;91,725;94,301;97,772;105,733;111,154;113,899;113,899;111,154;106,63;97,772;90,872;86,646;84,143;82,487;81,664;80,843;80,025;80,025;79,21;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/03/2002;;1;1;97,772;78,397;84,05;29;17;1;1;1;;0;82,487;82,487;81,664;80,843;80,843;80,843;80,843;80,843;80,843;80,843;80,025;80,025;80,025;80,025;79,21;79,21;78,397;79,21;79,21;80,843;82,487;84,143;84,974;85,809;86,646;90,872;95,165;96,031;97,772;96,9;96,031;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/02/2002;;1;1;150,53;83,313;103,457;11;28;1;1;1;;0;97,772;95,165;94,301;94,301;96,9;99,523;103,056;112,067;125,097;143,529;150,53;142,538;130,826;120,389;112,067;104,838;98,646;95,165;92,581;92,581;90,872;89,174;88,328;87,486;86,646;84,974;84,143;83,313;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
46830000;2;01/01/2002;;1;1;153,564;100,402;136,448;22;31;1;1;1;;0;108,432;118,522;124,151;134,693;134,693;136,64;139,579;143,529;147,516;149,523;149,523;148,518;148,518;147,516;147,516;145,518;147,516;147,516;146,516;146,516;148,518;153,564;153,564;148,518;141,549;132,755;121,326;110,245;104,838;102,169;100,402;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/12/2001;;1;1;122,265;80,843;103,068;8;17;1;1;1;;0;107,53;108,432;113,899;113,899;114,819;116,666;118,522;122,265;122,265;119,454;112,982;103,946;95,165;87,486;84,143;82,487;80,843;80,843;82,487;87,486;93,44;98,646;102,169;106,63;111,154;111,154;109,337;105,733;99,523;98,646;103,056;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/11/2001;;1;1;105,733;76,781;89,645;25;14;1;1;1;;0;87,486;83,313;80,025;82,487;84,143;84,143;85,809;84,974;83,313;82,487;81,664;80,025;78,397;76,781;76,781;80,025;84,143;90,021;93,44;94,301;96,9;99,523;101,285;101,285;105,733;103,056;100,402;100,402;103,056;103,946;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/10/2001;;1;1;126,046;69,533;90,078;27;3;2;2;2;;0;70,429;70,429;69,533;69,533;69,533;69,533;69,533;70,429;72,789;73,582;74,378;75,176;75,977;76,781;76,781;78,397;82,487;89,174;98,646;103,056;104,838;107,53;112,982;118,522;120,389;123,207;126,046;125,097;117,593;105,733;94,301;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/09/2001;;1;1;77,588;69,533;71,471;20;5;2;2;2;;0;70,429;70,429;70,429;70,429;69,533;69,533;69,533;69,533;69,533;69,533;69,533;69,533;69,533;70,429;69,533;69,533;69,533;72;75,176;77,588;77,588;77,588;76,781;72,789;72;72,789;71,213;70,429;70,429;71,213;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;;
46830000;2;01/08/2001;;1;1;74,378;71,213;72,971;1;28;1;1;1;;0;74,378;74,378;74,378;74,378;74,378;74,378;73,582;73,582;73,582;73,582;73,582;73,582;73,582;73,582;72,789;72,789;72,789;72,789;72,789;72,789;72,789;72,789;72;72;72;72;72;71,213;71,213;71,213;71,213;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/07/2001;;1;1;77,588;74,378;76,057;1;27;1;1;1;;0;77,588;77,588;77,588;77,588;77,588;77,588;77,588;76,781;76,781;76,781;76,781;75,977;75,977;75,977;75,977;75,977;75,977;75,977;75,977;75,977;75,977;75,176;75,176;75,176;75,176;75,176;74,378;74,378;74,378;74,378;74,378;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/06/2001;;1;1;82,487;77,588;79,867;1;29;1;1;1;;0;82,487;82,487;82,487;82,487;82,487;81,664;81,664;81,664;80,843;80,843;80,025;80,025;79,21;79,21;79,21;79,21;79,21;79,21;79,21;79,21;79,21;78,397;78,397;78,397;78,397;78,397;78,397;78,397;77,588;77,588;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/05/2001;;1;1;89,174;82,487;85,654;1;28;1;1;1;;0;89,174;88,328;87,486;86,646;85,809;85,809;85,809;84,974;84,974;86,646;84,974;85,809;87,486;87,486;88,328;88,328;87,486;87,486;86,646;85,809;85,809;85,809;84,143;84,143;83,313;83,313;83,313;82,487;82,487;82,487;82,487;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/04/2001;;1;1;105,733;85,809;94,998;25;14;1;1;1;;0;98,646;99,523;99,523;99,523;97,772;95,165;94,301;92,581;91,725;90,872;89,174;88,328;87,486;85,809;86,646;86,646;87,486;89,174;91,725;95,165;99,523;101,285;103,946;104,838;105,733;104,838;102,169;96,9;92,581;90,872;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/03/2001;;1;1;167,987;90,021;116,6;20;10;1;1;1;;0;102,169;100,402;99,523;99,523;97,772;96,9;94,301;91,725;90,872;90,021;90,872;94,301;101,285;115,741;126,046;135,666;143,529;155,598;162,786;167,987;165,9;159,692;150,53;138,597;125,097;114,819;105,733;101,285;99,523;98,646;97,772;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/02/2001;;1;1;107,53;87,486;100,89;14;1;2;2;2;;0;87,486;89,174;90,021;91,725;95,165;98,646;100,402;101,285;103,056;103,946;104,838;104,838;106,63;107,53;104,838;101,285;101,285;103,056;103,056;103,056;103,056;101,285;100,402;102,169;103,056;103,056;103,056;107,53;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;;;
46830000;2;01/01/2001;;1;1;106,63;82,487;92,869;6;20;1;1;1;;0;103,056;101,285;102,169;103,056;105,733;106,63;106,63;105,733;100,402;96,9;92,581;90,021;87,486;86,646;85,809;84,974;84,143;83,313;83,313;82,487;82,487;82,487;82,487;86,646;90,021;94,301;96,9;96,031;94,301;91,725;89,174;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/12/2000;;1;1;218,241;79,21;137,866;23;1;1;1;1;;0;79,21;79,21;79,21;80,843;81,664;83,313;86,646;92,581;100,402;103,056;103,946;107,53;110,245;116,666;144,522;160,721;171,133;177,484;182,835;187,154;196,814;212,383;218,241;218,241;213,837;199,586;177,484;154,58;133,723;115,741;104,838;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/11/2000;;1;1;144,522;74,636;106,953;15;1;1;1;1;;0;74,636;77,307;81,837;88,341;100,905;99,917;103,893;108,945;124,151;125,097;126,997;127,951;134,693;139,579;144,522;144,522;140,563;135,666;126,046;114,819;106,63;102,169;96,031;90,021;86,646;84,143;82,487;80,843;80,025;79,21;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/10/2000;;1;1;74,636;65,146;68,619;11;22;1;1;1;;0;66,836;66,836;66,836;66,836;66,836;68,541;69,4;70,262;72;73,753;74,636;74,636;73,753;72;70,262;68,541;67,686;66,836;66,836;65,989;65,989;65,146;65,146;65,146;65,989;66,836;66,836;66,836;67,686;70,262;72;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/09/2000;;1;1;89,285;66,836;72,959;12;30;2;2;2;;0;72;71,129;68,541;68,541;68,541;68,541;68,541;67,686;72;77,307;88,341;89,285;88,341;87,4;79,108;78,206;75,523;74,636;71,129;70,262;70,262;68,541;68,541;68,541;68,541;68,541;68,541;67,686;67,686;66,836;;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/08/2000;;1;1;76,413;72;73,674;1;24;1;1;1;;0;76,413;76,413;76,413;75,523;75,523;75,523;74,636;74,636;74,636;74,636;74,636;73,753;73,753;73,753;73,753;73,753;72,875;72,875;72,875;72,875;72,875;72,875;72,875;72;72;72;72;72;72;72;72;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/07/2000;;1;1;80,924;76,413;78,906;1;31;1;1;1;;0;80,924;80,924;80,924;80,014;80,014;80,014;80,014;79,108;79,108;79,108;79,108;79,108;79,108;78,206;78,206;78,206;78,206;78,206;78,206;78,206;78,206;78,206;79,108;79,108;79,108;79,108;79,108;78,206;77,307;77,307;76,413;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/06/2000;;1;1;86,464;80,924;83,374;1;27;1;1;1;;0;86,464;85,531;85,531;84,602;84,602;84,602;84,602;84,602;84,602;84,602;84,602;83,676;83,676;83,676;83,676;83,676;83,676;82,755;82,755;82,755;82,755;82,755;81,837;81,837;81,837;81,837;80,924;80,924;80,924;80,924;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/05/2000;;1;1;116,168;86,464;92,4;1;27;1;1;1;;0;116,168;112,019;107,928;101,898;97,95;95,999;95,029;94,062;93,099;92,14;91,184;91,184;91,184;90,233;90,233;90,233;89,285;88,341;88,341;88,341;88,341;88,341;88,341;87,4;87,4;87,4;86,464;86,464;86,464;86,464;86,464;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;2;01/04/2000;;1;1;119,316;96,973;105,84;30;15;2;2;2;;0;104,896;106,914;106,914;106,914;106,914;105,903;104,896;103,893;102,894;102,894;100,905;98,932;97,95;97,95;96,973;97,95;97,95;97,95;99,917;102,894;106,914;112,019;110,991;110,991;110,991;113,051;115,126;116,168;117,214;119,316;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
46830000;2;01/03/2000;;1;1;166,943;98,932;136,232;4;30;2;2;2;;0;160,721;160,721;164,86;166,943;165,9;155,598;143,529;132,755;123,563;118,263;120,373;123,563;127,866;136,64;141,549;144,522;147,516;147,516;148,518;152,55;154,58;149,523;142,538;132,755;122,496;115,126;112,019;107,928;104,896;98,932;98,932;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;
46830000;2;01/02/2000;;1;1;161,753;115,126;129,674;29;5;1;1;1;;0;138,597;132,755;125,707;117,214;115,126;116,168;117,214;120,373;124,634;128,907;129,866;130,826;133,723;131,79;127,866;122,496;120,373;117,214;116,168;119,316;123,563;127,866;131,79;134,693;134,693;143,529;155,598;160,721;161,753;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
46830000;2;01/01/2000;;1;1;156,618;98,932;132,261;9;22;2;2;2;;0;150,53;143,529;139,579;141,549;145,518;149,523;151,539;153,564;156,618;154,58;149,523;145,518;142,538;141,549;131,79;119,316;107,928;106,914;107,928;105,903;103,893;98,932;98,932;99,917;119,316;124,634;129,866;138,597;146,516;149,523;144,522;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;
